date;senders;receivers
1950-11-03;Heisenberg, Werner (1901-1976);Nishina, Yoshio
1947-07-20;Normann, Fr. [vermutlich];Heisenberg, Werner (1901-1976)
1947-07-02;Heisenberg, Werner (1901-1976);Normann, Fr. [vermutlich]
1950-09-26;Otero, José María;Heisenberg, Werner (1901-1976)
1950-08-12;Sanchez del Rio, Carlos (1924-2013)/ Otero, José María;Heisenberg, Werner (1901-1976)
1950-07-18;Heisenberg, Werner (1901-1976);Otero, José María
1950-07-13;Otero, José María;Heisenberg, Werner (1901-1976)
1950-07-08;Heisenberg, Werner (1901-1976);Otero, José María
1950-07-06;Heisenberg, Werner (1901-1976);Otero, José María
1950-07-03;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-30;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-13;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-20;Heisenberg, Werner (1901-1976);Otero, José María
1950-06-14;Heisenberg, Werner (1901-1976);Otero, José María
1950-06-13;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-08;Heisenberg, Werner (1901-1976);Otero, José María
1950-05-24;Otero, José María;Heisenberg, Werner (1901-1976)
1950-05-24;Otero, José María;Heisenberg, Werner (1901-1976)
1949-07-20;Heisenberg, Werner (1901-1976);Otero, José María
1949-05-30;Gehlen, Johannes;Heisenberg, Werner (1901-1976)
1949-07-07;Otero, José María;Heisenberg, Werner (1901-1976)
1949-05-29;Gehlen, Johannes;Heisenberg, Werner (1901-1976)
1949-05-29;Gehlen, Johannes;Heisenberg, Werner (1901-1976)
1949-05-28;Curtius, Ludwig (1874-1954) [vermutlich];Heisenberg, Werner (1901-1976)
1948-02-11;Peierls, Rudolf Ernst (1907-1995);Heisenberg, Werner (1901-1976)
1948-03-03;Pauling, Linus (1901-1994);Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1946-05-26;Pauli, Wolfgang (1900-1958);Heisenberg, Werner (1901-1976)
1946-09-09;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1946-12-25;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1947-07-09;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1947-07-11;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1948-01-22;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1948-02-21;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1948-04-14;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1948-05-04;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1948-10-20;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1950-05-09;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1950-02-28;Pauli, Wolfgang (1900-1958)/ Institute for Advanced Study (Princeton, NJ);Heisenberg, Werner (1901-1976)
1950-04-02;Pauli, Wolfgang (1900-1958)/ Institute for Advanced Study (Princeton, NJ);Heisenberg, Werner (1901-1976)
1950-07-10;Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1950-05-24;Heisenberg, Werner (1901-1976);Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Physikalisches Institut
1948-04-29;Heisenberg, Werner (1901-1976);Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Physikalisches Institut
1948-04-07;Heisenberg, Werner (1901-1976);Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich (1911-)
1947-07-29;Heisenberg, Werner (1901-1976);Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Physikalisches Institut
1947-06-20;Heisenberg, Werner (1901-1976);Pauli, Wolfgang (1900-1958)/ Eidgenössische Technische Hochschule Zürich. Physikalisches Institut
1949-07-07;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)/ Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1949-06-29;Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958);Shoenberg, D. (1911-2004)/ Cavendish Laboratory (1873-)
1949-06-24;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)/ Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1949-03-01;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)/ Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1949-02-16;Heisenberg, Werner (1901-1976);Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)
1949-01-26;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)/ Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1948-01-05;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-);Heisenberg, Werner (1901-1976)
1947-10-30;Heisenberg, Werner (1901-1976);Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)
1947-10-24;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-);Heisenberg, Werner (1901-1976)/ Deutschland (Gebiet unter Alliierter Besatzung, Britische Zone). Kontrollkommission. Research Branch
1947-10-22;Heisenberg, Werner (1901-1976);Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)
1947-10-02;Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-);Heisenberg, Werner (1901-1976)/ Deutschland (Gebiet unter Alliierter Besatzung, Britische Zone). Kontrollkommission. Research Branch
1947-09-30;Heisenberg, Werner (1901-1976);Shoenberg, D. (1911-2004)/ The Royal Society Mond Laboratory (1932-)
1950;Siegbahn, Kai (1918-2007)/ Kungliga Svenska Vetenskapsakademien (1739-);Heisenberg, Werner (1901-1976)
1949-07-11;Heisenberg, Werner (1901-1976);Simson, Werner von
1949-07-20;Heisenberg, Werner (1901-1976);Slater, John C. (1900-1976)/ Massachusetts Institute of Technology (1861-)
1949-07-14;Slater, John C. (1900-1976)/ Massachusetts Institute of Technology (1861-);Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1949-06-24;Heisenberg, Werner (1901-1976);Slater, John C. (1900-1976)/ Massachusetts Institute of Technology (1861-)
1949-03-04;Slater, John C. (1900-1976)/ Massachusetts Institute of Technology (1861-);Heisenberg, Werner (1901-1976)
1946-07-04;Williams, Marguerite;Heisenberg, Werner (1901-1976)
1947-03-13;Hügel, Käte;Ablakos, Stefan
1947-02-24;Ablakos, Stefan;Heisenberg, Werner (1901-1976)
1946-06-26;Heisenberg, Werner (1901-1976);Achelis, Johann Daniel (1898-1963)
1947-12-11;Artmann, Kurt;Heisenberg, Werner (1901-1976)
1947-10-27;Friedrich-Freksa, Hans (1906-1973)/ Zeitschrift für Naturforschung (1946-);Artmann, Kurt
1947-10-04;Artmann, Kurt;Weizsäcker, Carl Friedrich von (1912-2007)
1947-11-21;Hügel, Käte;Artmann, Kurt
1947-09-02;Heisenberg, Werner (1901-1976);Artmann, Kurt
1947-08-27;Artmann, Kurt;Heisenberg, Werner (1901-1976)
1946-06-18;Achelis, Johann Daniel (1898-1963);Heisenberg, Werner (1901-1976)
1947-09-29;Hügel, Käte;Arfsten, Arvest Newton
1947-09-19;Arfsten, Arvest Newton;Heisenberg, Werner (1901-1976)
1948-01-12;Artmann, Kurt;Heisenberg, Werner (1901-1976)
1947-12-10;Heisenberg, Werner (1901-1976);Artmann, Kurt
1947-11-06;Artmann, Kurt;Heisenberg, Werner (1901-1976)
1947-10-20;Artmann, Kurt;Friedrich-Freksa, Hans (1906-1973)
1947-10-06;Auersbach, Karl (1909-1963)/ Lungenklinik Heckeshorn;Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958)
1947-10-13;Heisenberg, Werner (1901-1976);Auersbach, Karl (1909-1963)/ Lungenklinik Heckeshorn
1946;Bergakademie Clausthal (1864-1963)/ Gmelin-Institut für Anorganische Chemie und Grenzgebiete (1922-1997);Heisenberg, Werner (1901-1976)
1947-04-15;Heisenberg, Werner (1901-1976);Babinger, Franz (1892-1967)
1947-04-02;Babinger, Franz (1892-1967);Heisenberg, Werner (1901-1976)
1947-02-21;Heisenberg, Werner (1901-1976);Back, Ernst (1881-1959)/ Eberhard Karls Universität Tübingen. Physikalisches Institut
1947-01-21;Back, Ernst (1881-1959)/ Eberhard Karls Universität Tübingen. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1946-12-02;Heisenberg, Werner (1901-1976);Back, Ernst (1881-1959)
1946-11-23;Back, Ernst (1881-1959)/ Eberhard Karls Universität Tübingen. Physikalisches Institut;Heisenberg, Werner (1901-1976)/ Kaiser-Wilhelm-Institut für Physikalische Forschung (1917-1945)
1946-07-15;Heisenberg, Werner (1901-1976);Back, Ernst (1881-1959)/ Eberhard Karls Universität Tübingen. Physikalisches Institut
1946-07-02;Back, Ernst (1881-1959)/ Eberhard Karls Universität Tübingen. Physikalisches Institut;Heisenberg, Werner (1901-1976)/ Kaiser-Wilhelm-Institut für Physikalische Forschung (1917-1945)
1947-07-21;Volkshochschule (Bad Pyrmont);Heisenberg, Werner (1901-1976)
1947-09-02;Heisenberg, Werner (1901-1976);Bäurle, Hans
1947-09-28;Bahro, Hans [vermutlich];Heisenberg, Werner (1901-1976)
1947-03-03;Heisenberg, Werner (1901-1976);Bank, Hans
1947-02-23;Bank, Hans;Heisenberg, Werner (1901-1976)
1947-02-15;Barthel, Ernst (1890-1953);Heisenberg, Werner (1901-1976)
1947-04-16;;Heisenberg, Werner (1901-1976)
1948-04-28;Staatliches Gesundheitsamt (Göttingen);Heisenberg, Werner (1901-1976)
1950-10-19;Heisenberg, Werner (1901-1976)/ Max-Planck-Institut für Physik (1946-1958);Joliot-Curie, Frédéric (1900-1958)
1948-04-28;Sewing, Karl Heinz (1913-);Heisenberg, Werner (1901-1976)
1948-04-16;Butterweck, Fritz;Heisenberg, Werner (1901-1976)
1949-12-28;Mutzenbecher, Hans Esdras (1897-1983);Thompson, J. W. R.
1946-12-06;Zwicky, Fritz (1898-1974)/ California Institute of Technology (1891-);Heisenberg, Werner (1901-1976)
1950;Joliot-Curie, Frédéric (1900-1958)/ Comité du Congrès Mondial des Partisans de la Paix;Heisenberg, Werner (1901-1976) [vermutlich]
1947-03-24;Wang, Foh-san (1908-);Heisenberg, Werner (1901-1976)
1946-06-03;Mittelstaedt, Otto Ernst (1902-);Heisenberg, Werner (1901-1976)
